COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE
Plumas,2019,Age groups,5–17 years,5 - 17 Years,18,81.2
Riverside,2019,Age groups,5–17 years,5 - 17 Years,2777,62.9
Sacramento,2019,Age groups,5–17 years,5 - 17 Years,2176,82.6
San Benito,2019,Age groups,5–17 years,5 - 17 Years,109,103.8
San Bernardino,2019,Age groups,5–17 years,5 - 17 Years,3175,74.7
San Diego,2019,Age groups,5–17 years,5 - 17 Years,2565,44
San Francisco,2019,Age groups,5–17 years,5 - 17 Years,526,58.9
San Joaquin,2019,Age groups,5–17 years,5 - 17 Years,1156,78.2
San Luis Obispo,2019,Age groups,5–17 years,5 - 17 Years,175,46.5
San Mateo,2019,Age groups,5–17 years,5 - 17 Years,471,39.4
Santa Barbara,2019,Age groups,5–17 years,5 - 17 Years,399,54
Santa Clara,2019,Age groups,5–17 years,5 - 17 Years,1243,37.8
Santa Cruz,2019,Age groups,5–17 years,5 - 17 Years,172,38
Shasta,2019,Age groups,5–17 years,5 - 17 Years,157,57.3
Sierra,2019,Age groups,5–17 years,5 - 17 Years,0,0
Siskiyou,2019,Age groups,5–17 years,5 - 17 Years,32,50.8
Solano,2019,Age groups,5–17 years,5 - 17 Years,864,118.1
Sonoma,2019,Age groups,5–17 years,5 - 17 Years,376,52.2
Stanislaus,2019,Age groups,5–17 years,5 - 17 Years,798,74.5
Sutter,2019,Age groups,5–17 years,5 - 17 Years,86,47
Tehama,2019,Age groups,5–17 years,5 - 17 Years,112,101.2
Trinity,2019,Age groups,5–17 years,5 - 17 Years,,
Tulare,2019,Age groups,5–17 years,5 - 17 Years,657,61.3
Tuolumne,2019,Age groups,5–17 years,5 - 17 Years,49,76.5
Ventura,2019,Age groups,5–17 years,5 - 17 Years,781,53.5
Yolo,2019,Age groups,5–17 years,5 - 17 Years,217,58
Yuba,2019,Age groups,5–17 years,5 - 17 Years,95,60.5
California,2019,Age groups,18–64 years,41 - 64 Years,97990,40.2
Alameda,2019,Age groups,18–64 years,41 - 64 Years,4929,46
Alpine,2019,Age groups,18–64 years,41 - 64 Years,0,0
Amador,2019,Age groups,18–64 years,41 - 64 Years,114,57.1
Butte,2019,Age groups,18–64 years,41 - 64 Years,638,49.3
Calaveras,2019,Age groups,18–64 years,41 - 64 Years,118,54.9
Colusa,2019,Age groups,18–64 years,41 - 64 Years,22,18.1
Contra Costa,2019,Age groups,18–64 years,41 - 64 Years,3919,57.6
Del Norte,2019,Age groups,18–64 years,41 - 64 Years,95,61.1
El Dorado,2019,Age groups,18–64 years,41 - 64 Years,427,42.8
Fresno,2019,Age groups,18–64 years,41 - 64 Years,3040,51.5
Glenn,2019,Age groups,18–64 years,41 - 64 Years,86,51.5
Humboldt,2019,Age groups,18–64 years,41 - 64 Years,634,79.5
Imperial,2019,Age groups,18–64 years,41 - 64 Years,513,46.2
Inyo,2019,Age groups,18–64 years,41 - 64 Years,68,76.9
Kern,2019,Age groups,18–64 years,41 - 64 Years,2419,44.1
Kings,2019,Age groups,18–64 years,41 - 64 Years,528,59.1
Lake,2019,Age groups,18–64 years,41 - 64 Years,313,87.5
Lassen,2019,Age groups,18–64 years,41 - 64 Years,89,42.3
Los Angeles,2019,Age groups,18–64 years,41 - 64 Years,27020,41.7
Madera,2019,Age groups,18–64 years,41 - 64 Years,360,39.3
Marin,2019,Age groups,18–64 years,41 - 64 Years,303,21.1
Mariposa,2019,Age groups,18–64 years,41 - 64 Years,48,53.9
Mendocino,2019,Age groups,18–64 years,41 - 64 Years,339,69.6
Merced,2019,Age groups,18–64 years,41 - 64 Years,1072,66.3
Modoc,2019,Age groups,18–64 years,41 - 64 Years,52,122.5
Mono,2019,Age groups,18–64 years,41 - 64 Years,30,37.7
Monterey,2019,Age groups,18–64 years,41 - 64 Years,1036,38.5
Napa,2019,Age groups,18–64 years,41 - 64 Years,310,37.3
Nevada,2019,Age groups,18–64 years,41 - 64 Years,194,38.9
Orange,2019,Age groups,18–64 years,41 - 64 Years,4485,22.6
Placer,2019,Age groups,18–64 years,41 - 64 Years,676,31.5
Plumas,2019,Age groups,18–64 years,41 - 64 Years,49,59.1
Riverside,2019,Age groups,18–64 years,41 - 64 Years,5464,38.5
Sacramento,2019,Age groups,18–64 years,41 - 64 Years,6333,68.4
San Benito,2019,Age groups,18–64 years,41 - 64 Years,175,51.2
San Bernardino,2019,Age groups,18–64 years,41 - 64 Years,6071,45.7
San Diego,2019,Age groups,18–64 years,41 - 64 Years,5213,25.7
San Francisco,2019,Age groups,18–64 years,41 - 64 Years,1884,31.6
San Joaquin,2019,Age groups,18–64 years,41 - 64 Years,2895,64.9
San Luis Obispo,2019,Age groups,18–64 years,41 - 64 Years,452,28.7
San Mateo,2019,Age groups,18–64 years,41 - 64 Years,1279,27.3
Santa Barbara,2019,Age groups,18–64 years,41 - 64 Years,754,26.5
Santa Clara,2019,Age groups,18–64 years,41 - 64 Years,3457,28.3
Santa Cruz,2019,Age groups,18–64 years,41 - 64 Years,428,25.6
Shasta,2019,Age groups,18–64 years,41 - 64 Years,442,45.2
Sierra,2019,Age groups,18–64 years,41 - 64 Years,,
Siskiyou,2019,Age groups,18–64 years,41 - 64 Years,102,44
Solano,2019,Age groups,18–64 years,41 - 64 Years,2342,89.2
Sonoma,2019,Age groups,18–64 years,41 - 64 Years,1109,37.7
Stanislaus,2019,Age groups,18–64 years,41 - 64 Years,1777,54.5
Sutter,2019,Age groups,18–64 years,41 - 64 Years,162,28.7
Tehama,2019,Age groups,18–64 years,41 - 64 Years,190,55.3
Trinity,2019,Age groups,18–64 years,41 - 64 Years,37,57.2
Tulare,2019,Age groups,18–64 years,41 - 64 Years,980,35.9
Tuolumne,2019,Age groups,18–64 years,41 - 64 Years,147,52.4
Ventura,2019,Age groups,18–64 years,41 - 64 Years,1524,29.8
Yolo,2019,Age groups,18–64 years,41 - 64 Years,498,37.6
Yuba,2019,Age groups,18–64 years,41 - 64 Years,211,47
California,2019,Age groups,65+ years,65+ years,13276,23.4
Alameda,2019,Age groups,65+ years,65+ years,834,36.4
Alpine,2019,Age groups,65+ years,65+ years,0,0
Amador,2019,Age groups,65+ years,65+ years,24,25.7
Butte,2019,Age groups,65+ years,65+ years,72,17.6
Calaveras,2019,Age groups,65+ years,65+ years,30,24.7
Colusa,2019,Age groups,65+ years,65+ years,,
Contra Costa,2019,Age groups,65+ years,65+ years,583,32.1
Del Norte,2019,Age groups,65+ years,65+ years,,
El Dorado,2019,Age groups,65+ years,65+ years,60,16.1
Fresno,2019,Age groups,65+ years,65+ years,372,31.7
Glenn,2019,Age groups,65+ years,65+ years,16,36.5
Humboldt,2019,Age groups,65+ years,65+ years,44,18.2
Imperial,2019,Age groups,65+ years,65+ years,87,36.5
Inyo,2019,Age groups,65+ years,65+ years,,
Kern,2019,Age groups,65+ years,65+ years,215,21.8
Kings,2019,Age groups,65+ years,65+ years,40,25
Lake,2019,Age groups,65+ years,65+ years,57,40.1
Lassen,2019,Age groups,65+ years,65+ years,,
Los Angeles,2019,Age groups,65+ years,65+ years,3423,24.3
Madera,2019,Age groups,65+ years,65+ years,57,26.2
Marin,2019,Age groups,65+ years,65+ years,96,16.9
Mariposa,2019,Age groups,65+ years,65+ years,,
Mendocino,2019,Age groups,65+ years,65+ years,36,17.8
Merced,2019,Age groups,65+ years,65+ years,101,32.6
Modoc,2019,Age groups,65+ years,65+ years,,
Mono,2019,Age groups,65+ years,65+ years,,
Monterey,2019,Age groups,65+ years,65+ years,133,22.5
Napa,2019,Age groups,65+ years,65+ years,75,29
Nevada,2019,Age groups,65+ years,65+ years,32,12.3
Orange,2019,Age groups,65+ years,65+ years,771,16.6
Placer,2019,Age groups,65+ years,65+ years,145,19
Plumas,2019,Age groups,65+ years,65+ years,,
Riverside,2019,Age groups,65+ years,65+ years,681,19.5
Sacramento,2019,Age groups,65+ years,65+ years,627,30.3
San Benito,2019,Age groups,65+ years,65+ years,27,36.4
San Bernardino,2019,Age groups,65+ years,65+ years,614,24.6
San Diego,2019,Age groups,65+ years,65+ years,835,17.6
San Francisco,2019,Age groups,65+ years,65+ years,314,22.1
San Joaquin,2019,Age groups,65+ years,65+ years,294,31.2
San Luis Obispo,2019,Age groups,65+ years,65+ years,78,13.8
San Mateo,2019,Age groups,65+ years,65+ years,315,24.5
Santa Barbara,2019,Age groups,65+ years,65+ years,143,22
Santa Clara,2019,Age groups,65+ years,65+ years,574,21.4
Santa Cruz,2019,Age groups,65+ years,65+ years,54,12.7
Shasta,2019,Age groups,65+ years,65+ years,51,13.8
Sierra,2019,Age groups,65+ years,65+ years,,
Siskiyou,2019,Age groups,65+ years,65+ years,12,11.6
Solano,2019,Age groups,65+ years,65+ years,309,44.5
Sonoma,2019,Age groups,65+ years,65+ years,268,27.4
Stanislaus,2019,Age groups,65+ years,65+ years,179,25.6
Sutter,2019,Age groups,65+ years,65+ years,21,14.1
Tehama,2019,Age groups,65+ years,65+ years,21,17.2
Trinity,2019,Age groups,65+ years,65+ years,,
Tulare,2019,Age groups,65+ years,65+ years,100,18.8
Tuolumne,2019,Age groups,65+ years,65+ years,35,23.3
Ventura,2019,Age groups,65+ years,65+ years,232,18.4
Yolo,2019,Age groups,65+ years,65+ years,102,39.3
Yuba,2019,Age groups,65+ years,65+ years,34,35.8
California,2019,Race/ethnicity,White,5 - 17 Years,46961,35.6
Alameda,2019,Race/ethnicity,White,5 - 17 Years,1466,28.4
Alpine,2019,Race/ethnicity,White,5 - 17 Years,0,0
Amador,2019,Race/ethnicity,White,5 - 17 Years,125,52.9
Butte,2019,Race/ethnicity,White,5 - 17 Years,664,48
Calaveras,2019,Race/ethnicity,White,5 - 17 Years,167,61.2
Colusa,2019,Race/ethnicity,White,5 - 17 Years,12,22.8
Contra Costa,2019,Race/ethnicity,White,5 - 17 Years,1625,36.2
Del Norte,2019,Race/ethnicity,White,5 - 17 Years,109,84.6
El Dorado,2019,Race/ethnicity,White,5 - 17 Years,445,37.8
Fresno,2019,Race/ethnicity,White,5 - 17 Years,1791,73.6
Glenn,2019,Race/ethnicity,White,5 - 17 Years,72,49.2
Humboldt,2019,Race/ethnicity,White,5 - 17 Years,614,68.4
Imperial,2019,Race/ethnicity,White,5 - 17 Years,123,70.3
Inyo,2019,Race/ethnicity,White,5 - 17 Years,63,77.6
Kern,2019,Race/ethnicity,White,5 - 17 Years,1229,44.5
Kings,2019,Race/ethnicity,White,5 - 17 Years,315,71.2
Lake,2019,Race/ethnicity,White,5 - 17 Years,319,78.9
Lassen,2019,Race/ethnicity,White,5 - 17 Years,102,55.6
Los Angeles,2019,Race/ethnicity,White,5 - 17 Years,7271,29.7
Madera,2019,Race/ethnicity,White,5 - 17 Years,211,51.6
Marin,2019,Race/ethnicity,White,5 - 17 Years,312,18.4
Mariposa,2019,Race/ethnicity,White,5 - 17 Years,48,46.4
Mendocino,2019,Race/ethnicity,White,5 - 17 Years,365,82.5
Merced,2019,Race/ethnicity,White,5 - 17 Years,483,75
Modoc,2019,Race/ethnicity,White,5 - 17 Years,39,73
Mono,2019,Race/ethnicity,White,5 - 17 Years,17,24.7
Monterey,2019,Race/ethnicity,White,5 - 17 Years,450,38.1
Napa,2019,Race/ethnicity,White,5 - 17 Years,277,45.7
Nevada,2019,Race/ethnicity,White,5 - 17 Years,260,41.6
Orange,2019,Race/ethnicity,White,5 - 17 Years,3318,28.9
Placer,2019,Race/ethnicity,White,5 - 17 Years,847,34.9
Plumas,2019,Race/ethnicity,White,5 - 17 Years,68,63.3
Riverside,2019,Race/ethnicity,White,5 - 17 Years,3021,41.1
Sacramento,2019,Race/ethnicity,White,5 - 17 Years,2947,47.1
San Benito,2019,Race/ethnicity,White,5 - 17 Years,93,56.5
San Bernardino,2019,Race/ethnicity,White,5 - 17 Years,2500,45.9
San Diego,2019,Race/ethnicity,White,5 - 17 Years,3039,21.7
San Francisco,2019,Race/ethnicity,White,5 - 17 Years,798,24.8
San Joaquin,2019,Race/ethnicity,White,5 - 17 Years,1141,54.9
San Luis Obispo,2019,Race/ethnicity,White,5 - 17 Years,481,30.9
San Mateo,2019,Race/ethnicity,White,5 - 17 Years,676,23.3
Santa Barbara,2019,Race/ethnicity,White,5 - 17 Years,535,31
Santa Clara,2019,Race/ethnicity,White,5 - 17 Years,1410,23.7
Santa Cruz,2019,Race/ethnicity,White,5 - 17 Years,377,27.3
Shasta,2019,Race/ethnicity,White,5 - 17 Years,565,46.8
Sierra,2019,Race/ethnicity,White,5 - 17 Years,,
Siskiyou,2019,Race/ethnicity,White,5 - 17 Years,121,43.7
Solano,2019,Race/ethnicity,White,5 - 17 Years,1050,71.4
Sonoma,2019,Race/ethnicity,White,5 - 17 Years,1093,39
Stanislaus,2019,Race/ethnicity,White,5 - 17 Years,1175,58.1
Sutter,2019,Race/ethnicity,White,5 - 17 Years,115,29.6
Tehama,2019,Race/ethnicity,White,5 - 17 Years,209,57.7
Trinity,2019,Race/ethnicity,White,5 - 17 Years,44,48.9
Tulare,2019,Race/ethnicity,White,5 - 17 Years,344,31.3
Tuolumne,2019,Race/ethnicity,White,5 - 17 Years,215,62.7
Ventura,2019,Race/ethnicity,White,5 - 17 Years,1178,35.9
Yolo,2019,Race/ethnicity,White,5 - 17 Years,364,40.5
Yuba,2019,Race/ethnicity,White,5 - 17 Years,211,51.5
California,2019,Race/ethnicity,Black,5 - 17 Years,36416,168
Alameda,2019,Race/ethnicity,Black,5 - 17 Years,3564,202.8
Alpine,2019,Race/ethnicity,Black,5 - 17 Years,0,0
Amador,2019,Race/ethnicity,Black,5 - 17 Years,,
Butte,2019,Race/ethnicity,Black,5 - 17 Years,68,192.3
Calaveras,2019,Race/ethnicity,Black,5 - 17 Years,,
Colusa,2019,Race/ethnicity,Black,5 - 17 Years,,
Contra Costa,2019,Race/ethnicity,Black,5 - 17 Years,2136,216.3
Del Norte,2019,Race/ethnicity,Black,5 - 17 Years,,
El Dorado,2019,Race/ethnicity,Black,5 - 17 Years,27,206.5
Fresno,2019,Race/ethnicity,Black,5 - 17 Years,792,156.3
Glenn,2019,Race/ethnicity,Black,5 - 17 Years,,
Humboldt,2019,Race/ethnicity,Black,5 - 17 Years,54,370.4
Imperial,2019,Race/ethnicity,Black,5 - 17 Years,31,145.4
Inyo,2019,Race/ethnicity,Black,5 - 17 Years,0,0
Kern,2019,Race/ethnicity,Black,5 - 17 Years,952,184.5
Kings,2019,Race/ethnicity,Black,5 - 17 Years,156,208.6
Lake,2019,Race/ethnicity,Black,41 - 64 Years,35,381.2
Lassen,2019,Race/ethnicity,Black,41 - 64 Years,,
Los Angeles,2019,Race/ethnicity,Black,41 - 64 Years,12350,162.3
Madera,2019,Race/ethnicity,Black,41 - 64 Years,62,199
Marin,2019,Race/ethnicity,Black,41 - 64 Years,69,113.1
Mariposa,2019,Race/ethnicity,Black,41 - 64 Years,,
Mendocino,2019,Race/ethnicity,Black,41 - 64 Years,18,328.6
Merced,2019,Race/ethnicity,Black,41 - 64 Years,226,252.9
Modoc,2019,Race/ethnicity,Black,41 - 64 Years,0,0
Mono,2019,Race/ethnicity,Black,41 - 64 Years,,
Monterey,2019,Race/ethnicity,Black,41 - 64 Years,107,111.8
Napa,2019,Race/ethnicity,Black,41 - 64 Years,24,115.6
Nevada,2019,Race/ethnicity,Black,41 - 64 Years,,
Orange,2019,Race/ethnicity,Black,41 - 64 Years,579,124.7
Placer,2019,Race/ethnicity,Black,41 - 64 Years,68,150.9
Plumas,2019,Race/ethnicity,Black,41 - 64 Years,,
Riverside,2019,Race/ethnicity,Black,41 - 64 Years,1969,141
Sacramento,2019,Race/ethnicity,Black,41 - 64 Years,3427,221.4
San Benito,2019,Race/ethnicity,Black,41 - 64 Years,,
San Bernardino,2019,Race/ethnicity,Black,41 - 64 Years,2594,135.6
San Diego,2019,Race/ethnicity,Black,41 - 64 Years,1689,113.7
San Francisco,2019,Race/ethnicity,Black,41 - 64 Years,1017,257.8
San Joaquin,2019,Race/ethnicity,Black,41 - 64 Years,1239,225
San Luis Obispo,2019,Race/ethnicity,Black,41 - 64 Years,40,106.1
San Mateo,2019,Race/ethnicity,Black,41 - 64 Years,140,82.6
Santa Barbara,2019,Race/ethnicity,Black,41 - 64 Years,81,118.1
Santa Clara,2019,Race/ethnicity,Black,41 - 64 Years,506,112.8
Santa Cruz,2019,Race/ethnicity,Black,41 - 64 Years,17,66.2
Shasta,2019,Race/ethnicity,Black,41 - 64 Years,30,192.8
Sierra,2019,Race/ethnicity,Black,41 - 64 Years,0,0
Siskiyou,2019,Race/ethnicity,Black,41 - 64 Years,,
Solano,2019,Race/ethnicity,Black,41 - 64 Years,1425,242.8
Sonoma,2019,Race/ethnicity,Black,41 - 64 Years,113,164.7
Stanislaus,2019,Race/ethnicity,Black,41 - 64 Years,320,216.1
Sutter,2019,Race/ethnicity,Black,41 - 64 Years,43,263
Tehama,2019,Race/ethnicity,Black,41 - 64 Years,,
Trinity,2019,Race/ethnicity,Black,41 - 64 Years,,
Tulare,2019,Race/ethnicity,Black,41 - 64 Years,58,109.4
Tuolumne,2019,Race/ethnicity,Black,41 - 64 Years,,
Ventura,2019,Race/ethnicity,Black,41 - 64 Years,124,101.4
Yolo,2019,Race/ethnicity,Black,41 - 64 Years,95,180.3
Yuba,2019,Race/ethnicity,Black,41 - 64 Years,43,206.8
California,2019,Race/ethnicity,Hispanic,41 - 64 Years,75479,45.8
Alameda,2019,Race/ethnicity,Hispanic,41 - 64 Years,2098,53
Alpine,2019,Race/ethnicity,Hispanic,41 - 64 Years,0,0
Amador,2019,Race/ethnicity,Hispanic,41 - 64 Years,28,58.7
Butte,2019,Race/ethnicity,Hispanic,41 - 64 Years,133,34.8
Calaveras,2019,Race/ethnicity,Hispanic,41 - 64 Years,11,
Colusa,2019,Race/ethnicity,Hispanic,41 - 64 Years,42,25.9
Contra Costa,2019,Race/ethnicity,Hispanic,41 - 64 Years,2027,66.9
Del Norte,2019,Race/ethnicity,Hispanic,41 - 64 Years,16,29.6
El Dorado,2019,Race/ethnicity,Hispanic,41 - 64 Years,97,37.9
Fresno,2019,Race/ethnicity,Hispanic,41 - 64 Years,4818,80.5
Glenn,2019,Race/ethnicity,Hispanic,41 - 64 Years,41,34.2
Humboldt,2019,Race/ethnicity,Hispanic,41 - 64 Years,84,47.3
Imperial,2019,Race/ethnicity,Hispanic,41 - 64 Years,1129,66
Inyo,2019,Race/ethnicity,Hispanic,41 - 64 Years,27,57.7
Kern,2019,Race/ethnicity,Hispanic,41 - 64 Years,2403,45.6
Kings,2019,Race/ethnicity,Hispanic,41 - 64 Years,577,60.9
Lake,2019,Race/ethnicity,Hispanic,41 - 64 Years,93,72.1
Lassen,2019,Race/ethnicity,Hispanic,41 - 64 Years,14,35.8
Los Angeles,2019,Race/ethnicity,Hispanic,41 - 64 Years,24959,48.5
Madera,2019,Race/ethnicity,Hispanic,41 - 64 Years,680,65.7
Marin,2019,Race/ethnicity,Hispanic,41 - 64 Years,144,31.2
Mariposa,2019,Race/ethnicity,Hispanic,41 - 64 Years,,
Mendocino,2019,Race/ethnicity,Hispanic,41 - 64 Years,127,52.1
Merced,2019,Race/ethnicity,Hispanic,41 - 64 Years,1258,72.5
Modoc,2019,Race/ethnicity,Hispanic,41 - 64 Years,,
Mono,2019,Race/ethnicity,Hispanic,41 - 64 Years,14,34.8
Monterey,2019,Race/ethnicity,Hispanic,41 - 64 Years,1210,43.5
Napa,2019,Race/ethnicity,Hispanic,41 - 64 Years,187,38.8
Nevada,2019,Race/ethnicity,Hispanic,41 - 64 Years,32,31.9
Orange,2019,Race/ethnicity,Hispanic,41 - 64 Years,3846,32.4
Placer,2019,Race/ethnicity,Hispanic,41 - 64 Years,163,29.5
Plumas,2019,Race/ethnicity,Hispanic,41 - 64 Years,11,
Riverside,2019,Race/ethnicity,Hispanic,41 - 64 Years,4365,36.5
Sacramento,2019,Race/ethnicity,Hispanic,41 - 64 Years,2305,61.6
San Benito,2019,Race/ethnicity,Hispanic,41 - 64 Years,237,67.4
San Bernardino,2019,Race/ethnicity,Hispanic,41 - 64 Years,5105,42
San Diego,2019,Race/ethnicity,Hispanic,41 - 64 Years,4114,32.8
San Francisco,2019,Race/ethnicity,Hispanic,41 - 64 Years,728,56.1
San Joaquin,2019,Race/ethnicity,Hispanic,41 - 64 Years,1738,52.5
San Luis Obispo,2019,Race/ethnicity,Hispanic,41 - 64 Years,203,28.9
San Mateo,2019,Race/ethnicity,Hispanic,41 - 64 Years,943,47.3
Santa Barbara,2019,Race/ethnicity,Hispanic,41 - 64 Years,742,32.8
Santa Clara,2019,Race/ethnicity,Hispanic,41 - 64 Years,2485,45.4
Santa Cruz,2019,Race/ethnicity,Hispanic,41 - 64 Years,340,32.4
Shasta,2019,Race/ethnicity,Hispanic,41 - 64 Years,48,25.6
Sierra,2019,Race/ethnicity,Hispanic,41 - 64 Years,,
Siskiyou,2019,Race/ethnicity,Hispanic,41 - 64 Years,12,21
Solano,2019,Race/ethnicity,Hispanic,41 - 64 Years,808,67.3
Sonoma,2019,Race/ethnicity,Hispanic,41 - 64 Years,584,42.2
Stanislaus,2019,Race/ethnicity,Hispanic,41 - 64 Years,1378,51.1
Sutter,2019,Race/ethnicity,Hispanic,41 - 64 Years,89,27.6
Tehama,2019,Race/ethnicity,Hispanic,41 - 64 Years,102,58.6
Trinity,2019,Race/ethnicity,Hispanic,41 - 64 Years,,
Tulare,2019,Race/ethnicity,Hispanic,41 - 64 Years,1034,29.8
Tuolumne,2019,Race/ethnicity,Hispanic,41 - 64 Years,20,30.7
Ventura,2019,Race/ethnicity,Hispanic,41 - 64 Years,1373,34.8
Yolo,2019,Race/ethnicity,Hispanic,41 - 64 Years,328,45.2
Yuba,2019,Race/ethnicity,Hispanic,41 - 64 Years,83,38.9
California,2019,Race/ethnicity,Asian/PI,41 - 64 Years,10945,21.2
Alameda,2019,Race/ethnicity,Asian/PI,41 - 64 Years,1112,25.2
Alpine,2019,Race/ethnicity,Asian/PI,41 - 64 Years,0,0
Amador,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Butte,2019,Race/ethnicity,Asian/PI,41 - 64 Years,21,25.4
Calaveras,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Colusa,2019,Race/ethnicity,Asian/PI,41 - 64 Years,0,0
Contra Costa,2019,Race/ethnicity,Asian/PI,41 - 64 Years,579,34
Del Norte,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
El Dorado,2019,Race/ethnicity,Asian/PI,41 - 64 Years,21,34.1
Fresno,2019,Race/ethnicity,Asian/PI,41 - 64 Years,208,21.5
Glenn,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Humboldt,2019,Race/ethnicity,Asian/PI,41 - 64 Years,14,38.5
Imperial,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Inyo,2019,Race/ethnicity,Asian/PI,41 - 64 Years,0,0
Kern,2019,Race/ethnicity,Asian/PI,41 - 64 Years,98,28.3
Kings,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Lake,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Lassen,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Los Angeles,2019,Race/ethnicity,Asian/PI,41 - 64 Years,2515,18.6
Madera,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Marin,2019,Race/ethnicity,Asian/PI,41 - 64 Years,18,12.2
Mariposa,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Mendocino,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Merced,2019,Race/ethnicity,Asian/PI,41 - 64 Years,54,29.6
Modoc,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Mono,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Monterey,2019,Race/ethnicity,Asian/PI,41 - 64 Years,67,30.8
Napa,2019,Race/ethnicity,Asian/PI,41 - 64 Years,38,36
Nevada,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Orange,2019,Race/ethnicity,Asian/PI,41 - 64 Years,792,13.7
Placer,2019,Race/ethnicity,Asian/PI,41 - 64 Years,61,25.6
Plumas,2019,Race/ethnicity,Asian/PI,41 - 64 Years,0,0
Riverside,2019,Race/ethnicity,Asian/PI,41 - 64 Years,249,18
Sacramento,2019,Race/ethnicity,Asian/PI,41 - 64 Years,957,41.4
San Benito,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
San Bernardino,2019,Race/ethnicity,Asian/PI,41 - 64 Years,244,17.3
San Diego,2019,Race/ethnicity,Asian/PI,41 - 64 Years,733,21.2
San Francisco,2019,Race/ethnicity,Asian/PI,41 - 64 Years,476,20.6
San Joaquin,2019,Race/ethnicity,Asian/PI,41 - 64 Years,412,38
San Luis Obispo,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
San Mateo,2019,Race/ethnicity,Asian/PI,41 - 64 Years,456,24.2
Santa Barbara,2019,Race/ethnicity,Asian/PI,41 - 64 Years,32,16.5
Santa Clara,2019,Race/ethnicity,Asian/PI,41 - 64 Years,939,14.7
Santa Cruz,2019,Race/ethnicity,Asian/PI,41 - 64 Years,12,14.4
Shasta,2019,Race/ethnicity,Asian/PI,41 - 64 Years,23,52.5
Sierra,2019,Race/ethnicity,Asian/PI,41 - 64 Years,0,0
Siskiyou,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Solano,2019,Race/ethnicity,Asian/PI,41 - 64 Years,429,70.8
Sonoma,2019,Race/ethnicity,Asian/PI,41 - 64 Years,61,36.9
Stanislaus,2019,Race/ethnicity,Asian/PI,41 - 64 Years,66,21.3
Sutter,2019,Race/ethnicity,Asian/PI,41 - 64 Years,30,20.5
Tehama,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Trinity,2019,Race/ethnicity,Asian/PI,41 - 64 Years,,
Tulare,2019,Race/ethnicity,Asian/PI,41 - 64 Years,22,17.2
Tuolumne,2019,Race/ethnicity,Asian/PI,41 - 64 Years,0,0
Ventura,2019,Race/ethnicity,Asian/PI,41 - 64 Years,67,12.3
Yolo,2019,Race/ethnicity,Asian/PI,41 - 64 Years,51,60.5
Yuba,2019,Race/ethnicity,Asian/PI,41 - 64 Years,14,33.8
California,2019,Race/ethnicity,AI/AN,41 - 64 Years,734,46.1
Alameda,2019,Race/ethnicity,AI/AN,41 - 64 Years,36,75
Alpine,2019,Race/ethnicity,AI/AN,41 - 64 Years,0,0
Amador,2019,Race/ethnicity,AI/AN,41 - 64 Years,,
Butte,2019,Race/ethnicity,AI/AN,41 - 64 Years,,
Calaveras,2019,Race/ethnicity,AI/AN,41 - 64 Years,,
Colusa,2019,Race/ethnicity,AI/AN,41 - 64 Years,0,0
Contra Costa,2019,Race/ethnicity,AI/AN,41 - 64 Years,33,125.5
Del Norte,2019,Race/ethnicity,AI/AN,41 - 64 Years,16,93.1
El Dorado,2019,Race/ethnicity,AI/AN,41 - 64 Years,,
Fresno,2019,Race/ethnicity,AI/AN,41 - 64 Years,17,28.2
Glenn,2019,Race/ethnicity,AI/AN,41 - 64 Years,,
Humboldt,2019,Race/ethnicity,AI/AN,41 - 64 Years,24,31.1
Imperial,2019,Race/ethnicity,AI/AN,41 - 64 Years,0,0
Inyo,2019,Race/ethnicity,AI/AN,41 - 64 Years,20,121.9
Kern,2019,Race/ethnicity,AI/AN,41 - 64 Years,,
Kings,2019,Race/ethnicity,AI/AN,41 - 64 Years,,
Lake,2019,Race/ethnicity,AI/AN,41 - 64 Years,15,86.4
Lassen,2019,Race/ethnicity,AI/AN,41 - 64 Years,,
Los Angeles,2019,Race/ethnicity,AI/AN,41 - 64 Years,57,29.8
Madera,2019,Race/ethnicity,AI/AN,41 - 64 Years,,
