ZipCode,City,County
15250,PITTSBURGH,ALLEGHENY
15251,PITTSBURGH,ALLEGHENY
15252,PITTSBURGH,ALLEGHENY
15253,PITTSBURGH,ALLEGHENY
15257,PITTSBURGH,ALLEGHENY
15258,PITTSBURGH,ALLEGHENY
15259,PITTSBURGH,ALLEGHENY
15262,PITTSBURGH,ALLEGHENY
15264,PITTSBURGH,ALLEGHENY
15265,PITTSBURGH,ALLEGHENY
15272,PITTSBURGH,ALLEGHENY
15274,PITTSBURGH,ALLEGHENY
15275,PITTSBURGH,ALLEGHENY
15276,PITTSBURGH,ALLEGHENY
15281,PITTSBURGH,ALLEGHENY
15282,PITTSBURGH,ALLEGHENY
15290,PITTSBURGH,ALLEGHENY
15295,PITTSBURGH,ALLEGHENY
15301,WASHINGTON,WASHINGTON
15277,PITTSBURGH,ALLEGHENY
15278,PITTSBURGH,ALLEGHENY
15279,PITTSBURGH,ALLEGHENY
15283,PITTSBURGH,ALLEGHENY
15286,PITTSBURGH,ALLEGHENY
15289,PITTSBURGH,ALLEGHENY
15310,ALEPPO,GREENE
15311,AMITY,WASHINGTON
15312,AVELLA,WASHINGTON
15313,BEALLSVILLE,WASHINGTON
15320,CARMICHAELS,GREENE
15321,CECIL,WASHINGTON
15322,CLARKSVILLE,GREENE
15330,EIGHTY FOUR,WASHINGTON
15331,ELLSWORTH,WASHINGTON
15332,FINLEYVILLE,WASHINGTON
15333,FREDERICKTOWN,WASHINGTON
15334,GARARDS FORT,GREENE
15340,HICKORY,WASHINGTON
15341,HOLBROOK,GREENE
15342,HOUSTON,WASHINGTON
15344,JEFFERSON,GREENE
15345,MARIANNA,WASHINGTON
15349,MOUNT MORRIS,GREENE
15350,MUSE,WASHINGTON
15351,NEMACOLIN,GREENE
15352,NEW FREEPORT,GREENE
15361,SOUTHVIEW,WASHINGTON
15362,SPRAGGS,GREENE
15363,STRABANE,WASHINGTON
15364,SYCAMORE,GREENE
15365,TAYLORSTOWN,WASHINGTON
15314,BENTLEYVILLE,WASHINGTON
15315,BOBTOWN,GREENE
15316,BRAVE,GREENE
15317,CANONSBURG,WASHINGTON
15323,CLAYSVILLE,WASHINGTON
15324,COKEBURG,WASHINGTON
15325,CRUCIBLE,GREENE
15327,DILLINER,GREENE
15329,PROSPERITY,WASHINGTON
15336,GASTONVILLE,WASHINGTON
15337,GRAYSVILLE,GREENE
15338,GREENSBORO,GREENE
15339,HENDERSONVILLE,WASHINGTON
15346,MATHER,GREENE
15347,MEADOW LANDS,WASHINGTON
15348,MILLSBORO,WASHINGTON
15353,NINEVEH,GREENE
15357,RICES LANDING,GREENE
15358,RICHEYVILLE,WASHINGTON
15359,ROGERSVILLE,GREENE
15360,SCENERY HILL,WASHINGTON
15366,VAN VOORHIS,WASHINGTON
15367,VENETIA,WASHINGTON
15368,VESTABURG,WASHINGTON
15370,WAYNESBURG,GREENE
15380,WIND RIDGE,GREENE
15401,UNIONTOWN,FAYETTE
15410,ADAH,FAYETTE
15411,ADDISON,SOMERSET
15412,ALLENPORT,WASHINGTON
15413,ALLISON,FAYETTE
15415,BRIER HILL,FAYETTE
15416,BROWNFIELD,FAYETTE
15417,BROWNSVILLE,FAYETTE
15376,WEST ALEXANDER,WASHINGTON
15377,WEST FINLEY,WASHINGTON
15378,WESTLAND,WASHINGTON
15379,WEST MIDDLETOWN,WASHINGTON
15419,CALIFORNIA,WASHINGTON
15420,CARDALE,FAYETTE
15421,CHALK HILL,FAYETTE
15425,CONNELLSVILLE,FAYETTE
15427,DAISYTOWN,WASHINGTON
15433,EAST MILLSBORO,FAYETTE
15434,ELCO,WASHINGTON
15435,FAIRBANK,FAYETTE
15436,FAIRCHANCE,FAYETTE
15442,GRINDSTONE,FAYETTE
15443,HIBBS,FAYETTE
15444,HILLER,FAYETTE
15445,HOPWOOD,FAYETTE
15446,INDIAN HEAD,FAYETTE
15454,LECKRONE,FAYETTE
15455,LEISENRING,FAYETTE
15456,LEMONT FURNACE,FAYETTE
15459,MARKLEYSBURG,FAYETTE
15460,MARTIN,FAYETTE
15461,MASONTOWN,FAYETTE
15462,MELCROFT,FAYETTE
15463,MERRITTSTOWN,FAYETTE
15468,NEW SALEM,FAYETTE
15469,NORMALVILLE,FAYETTE
15470,OHIOPYLE,FAYETTE
15472,OLIVER,FAYETTE
15473,PERRYOPOLIS,FAYETTE
15422,CHESTNUT RIDGE,FAYETTE
15423,COAL CENTER,WASHINGTON
15424,CONFLUENCE,SOMERSET
15428,DAWSON,FAYETTE
15429,DENBO,WASHINGTON
15430,DICKERSON RUN,FAYETTE
15431,DUNBAR,FAYETTE
15432,DUNLEVY,WASHINGTON
15437,FARMINGTON,FAYETTE
15438,FAYETTE CITY,FAYETTE
15439,GANS,FAYETTE
15440,GIBBON GLADE,FAYETTE
15447,ISABELLA,FAYETTE
15448,JACOBS CREEK,WESTMORELAND
15449,KEISTERVILLE,FAYETTE
15450,LA BELLE,FAYETTE
15451,LAKE LYNN,FAYETTE
15458,MC CLELLANDTOWN,FAYETTE
15464,MILL RUN,FAYETTE
15465,MOUNT BRADDOCK,FAYETTE
15466,NEWELL,FAYETTE
15467,NEW GENEVA,FAYETTE
15474,POINT MARION,FAYETTE
15475,REPUBLIC,FAYETTE
15476,RONCO,FAYETTE
15482,STAR JUNCTION,FAYETTE
15483,STOCKDALE,WASHINGTON
15484,ULEDI,FAYETTE
15485,URSINA,SOMERSET
15486,VANDERBILT,FAYETTE
15477,ROSCOE,WASHINGTON
15478,SMITHFIELD,FAYETTE
15479,SMITHTON,WESTMORELAND
15480,SMOCK,FAYETTE
15488,WALTERSBURG,FAYETTE
15489,WEST LEISENRING,FAYETTE
15490,WHITE,FAYETTE
15492,WICKHAVEN,FAYETTE
15521,ALUM BANK,BEDFORD
15522,BEDFORD,BEDFORD
15530,BERLIN,SOMERSET
15531,BOSWELL,SOMERSET
15532,BOYNTON,SOMERSET
15538,FAIRHOPE,SOMERSET
15539,FISHERTOWN,BEDFORD
15540,FORT HILL,SOMERSET
15541,FRIEDENS,SOMERSET
15548,KANTNER,SOMERSET
15549,LISTIE,SOMERSET
15550,MANNS CHOICE,BEDFORD
15551,MARKLETON,SOMERSET
15558,SALISBURY,SOMERSET
15559,SCHELLSBURG,BEDFORD
15560,SHANKSVILLE,SOMERSET
15561,SIPESVILLE,SOMERSET
15562,SPRINGS,SOMERSET
15601,GREENSBURG,WESTMORELAND
15605,GREENSBURG,WESTMORELAND
15606,GREENSBURG,WESTMORELAND
15616,ARMBRUST,WESTMORELAND
15617,ARONA,WESTMORELAND
15618,AVONMORE,WESTMORELAND
15619,BOVARD,WESTMORELAND
15501,SOMERSET,SOMERSET
15502,HIDDEN VALLEY,SOMERSET
15510,SOMERSET,SOMERSET
15520,ACOSTA,SOMERSET
15533,BREEZEWOOD,BEDFORD
15534,BUFFALO MILLS,BEDFORD
15535,CLEARVILLE,BEDFORD
15536,CRYSTAL SPRING,FULTON
15537,EVERETT,BEDFORD
15542,GARRETT,SOMERSET
15544,GRAY,SOMERSET
15545,HYNDMAN,BEDFORD
15546,JENNERS,SOMERSET
15547,JENNERSTOWN,SOMERSET
15552,MEYERSDALE,SOMERSET
15553,NEW BALTIMORE,SOMERSET
15554,NEW PARIS,BEDFORD
15555,QUECREEK,SOMERSET
15557,ROCKWOOD,SOMERSET
15563,STOYSTOWN,SOMERSET
15564,WELLERSBURG,SOMERSET
15565,WEST SALISBURY,SOMERSET
15610,ACME,WESTMORELAND
15611,ADAMSBURG,WESTMORELAND
15612,ALVERTON,WESTMORELAND
15613,APOLLO,WESTMORELAND
15615,ARDARA,WESTMORELAND
15620,BRADENVILLE,WESTMORELAND
15621,CALUMET,WESTMORELAND
15622,CHAMPION,WESTMORELAND
15623,CLARIDGE,WESTMORELAND
15624,CRABTREE,WESTMORELAND
15625,DARRAGH,WESTMORELAND
15626,DELMONT,WESTMORELAND
15627,DERRY,WESTMORELAND
15628,DONEGAL,WESTMORELAND
15629,EAST VANDERGRIFT,WESTMORELAND
15631,EVERSON,FAYETTE
15632,EXPORT,WESTMORELAND
15638,HOSTETTER,WESTMORELAND
15639,HUNKER,WESTMORELAND
15640,HUTCHINSON,WESTMORELAND
15641,HYDE PARK,WESTMORELAND
15646,JONES MILLS,WESTMORELAND
15647,LARIMER,WESTMORELAND
15650,LATROBE,WESTMORELAND
15655,LAUGHLINTOWN,WESTMORELAND
15658,LIGONIER,WESTMORELAND
15660,LOWBER,WESTMORELAND
15661,LOYALHANNA,WESTMORELAND
15662,LUXOR,WESTMORELAND
15663,MADISON,WESTMORELAND
15670,NEW ALEXANDRIA,WESTMORELAND
15671,NEW DERRY,WESTMORELAND
15672,NEW STANTON,WESTMORELAND
15673,NORTH APOLLO,ARMSTRONG
15674,NORVELT,WESTMORELAND
15675,PENN,WESTMORELAND
15676,PLEASANT UNITY,WESTMORELAND
15677,RECTOR,WESTMORELAND
15683,SCOTTDALE,WESTMORELAND
15684,SLICKVILLE,WESTMORELAND
15685,SOUTHWEST,WESTMORELAND
15686,SPRING CHURCH,ARMSTRONG
15687,STAHLSTOWN,WESTMORELAND
15692,WESTMORELAND CITY,WESTMORELAND
15693,WHITNEY,WESTMORELAND
15695,WYANO,WESTMORELAND
15696,YOUNGSTOWN,WESTMORELAND
